id,name,nameEn,level,category,rawCategory,district,district18,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"edb_325147000611","耀中國際學校","YEW CHUNG INTERNATIONAL SCHOOL","幼稚園","國際","私立","九龍","九龍城區","","",134728,249216
"edb_325147000612","耀中國際學校","YEW CHUNG INTERNATIONAL SCHOOL","幼稚園","國際","私立","九龍","九龍城區","","",134728,249216
"edb_325147000613","耀中國際學校","YEW CHUNG INTERNATIONAL SCHOOL","幼稚園","國際","私立","九龍","九龍城區","","",134728,249216
"edb_325147000223","耀中國際學校","YEW CHUNG INTERNATIONAL SCHOOL","小學","國際","私立","九龍","九龍城區","IB","ENGLISH",265420,265420
"edb_325147000623","耀中國際學校","YEW CHUNG INTERNATIONAL SCHOOL","小學","國際","私立","九龍","九龍城區","IB","ENGLISH",265420,265420
"edb_325147000423","耀中國際學校","YEW CHUNG INTERNATIONAL SCHOOL","小學","國際","私立","九龍","九龍城區","IB","ENGLISH",265420,265420
"edb_567450000133","耀中國際學校（中學）","YEW CHUNG INTERNATIONAL SCHOOL - SECONDARY","中學","國際","私立","九龍","九龍城區","IB","ENGLISH",266040,272140
"edb_216178000111","港青基信國際幼稚園","YMCA OF HONG KONG CHRISTIAN INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","油尖旺區","","",71220,125480
"edb_216178000113","港青基信國際幼稚園","YMCA OF HONG KONG CHRISTIAN INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","油尖旺區","","",71220,125480
"edb_216178000112","港青基信國際幼稚園","YMCA OF HONG KONG CHRISTIAN INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","油尖旺區","","",71220,125480
"edb_581852000111","約克國際幼稚園","YORK INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_581852000112","約克國際幼稚園","YORK INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_581852000311","約克國際幼稚園","YORK INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_581852000312","約克國際幼稚園","YORK INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_578479000111","YORK INTERNATIONAL PRE-SCHOOL","YORK INTERNATIONAL PRE-SCHOOL","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_578479000112","YORK INTERNATIONAL PRE-SCHOOL","YORK INTERNATIONAL PRE-SCHOOL","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_616990000112","YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","幼稚園","國際","私立","新界","屯門區","","",0,0
"edb_616990000113","YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","幼稚園","國際","私立","新界","屯門區","","",0,0
"edb_616990000111","YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","幼稚園","國際","私立","新界","屯門區","","",0,0
"edb_621480000112","YORK INTERNATIONAL PRE-SCHOOL (WETLAND)","YORK INTERNATIONAL PRE-SCHOOL (WETLAND)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_621480000113","YORK INTERNATIONAL PRE-SCHOOL (WETLAND)","YORK INTERNATIONAL PRE-SCHOOL (WETLAND)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_621480000111","YORK INTERNATIONAL PRE-SCHOOL (WETLAND)","YORK INTERNATIONAL PRE-SCHOOL (WETLAND)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_604615000113","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (MEI FOO)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (MEI FOO)","幼稚園","國際","私立","九龍","深水埗區","","",0,0
"edb_604615000112","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (MEI FOO)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (MEI FOO)","幼稚園","國際","私立","九龍","深水埗區","","",0,0
"edb_604615000111","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (MEI FOO)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (MEI FOO)","幼稚園","國際","私立","九龍","深水埗區","","",0,0
"edb_609749000112","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O)","幼稚園","國際","私立","新界","西貢區","","",0,0
"edb_609749000111","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O)","幼稚園","國際","私立","新界","西貢區","","",0,0
"edb_605441000112","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (YUEN LONG)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (YUEN LONG)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_605441000111","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (YUEN LONG)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (YUEN LONG)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_573973000112","思百德國際幼稚園","ZEBEDEE INTERNATIONAL PRESCHOOL","幼稚園","國際","私立","新界","大埔區","","",0,0
"edb_573973000111","思百德國際幼稚園","ZEBEDEE INTERNATIONAL PRESCHOOL","幼稚園","國際","私立","新界","大埔區","","",0,0
