school_name_en,school_name_zh,edb_id,level,district,baseName
MULBERRY HOUSE INTERNATIONAL KINDERGARTEN SOUTHSIDE,MULBERRY HOUSE INTERNATIONAL KINDERGARTEN SOUTHSIDE,edb_578053000111,幼稚園,南區,MULBERRY HOUSE INTERNATIONAL KINDERGARTEN SOUTHSIDE
MULBERRY TREE INTERNATIONAL KINDERGARTEN,童樂天國際幼稚園,edb_598054000111,幼稚園,沙田區,MULBERRY TREE INTERNATIONAL KINDERGARTEN
MULBERRY TREE INTERNATIONAL KINDERGARTEN,童樂天國際幼稚園,edb_598054000112,幼稚園,沙田區,MULBERRY TREE INTERNATIONAL KINDERGARTEN
MYNORS INTERNATIONAL KINDERGARTEN,麥克萊國際幼稚園,edb_601250000111,幼稚園,北區,MYNORS INTERNATIONAL KINDERGARTEN
MYNORS INTERNATIONAL KINDERGARTEN,麥克萊國際幼稚園,edb_601250000112,幼稚園,北區,MYNORS INTERNATIONAL KINDERGARTEN
MYNORS INTERNATIONAL KINDERGARTEN,麥克萊國際幼稚園,edb_601250000113,幼稚園,北區,MYNORS INTERNATIONAL KINDERGARTEN
NORD ANGLIA INTERNATIONAL PRE-SCHOOL (SAI KUNG),NORD ANGLIA INTERNATIONAL PRE-SCHOOL (SAI KUNG),edb_608475000112,幼稚園,西貢區,NORD ANGLIA INTERNATIONAL PRE
NORD ANGLIA INTERNATIONAL PRE-SCHOOL (SAI KUNG),NORD ANGLIA INTERNATIONAL PRE-SCHOOL (SAI KUNG),edb_608475000111,幼稚園,西貢區,NORD ANGLIA INTERNATIONAL PRE
PARKVIEW INTERNATIONAL PRE-SCHOOL,栢基國際幼稚園,edb_215937000112,幼稚園,南區,PARKVIEW INTERNATIONAL PRE
PARKVIEW INTERNATIONAL PRE-SCHOOL,栢基國際幼稚園,edb_215937000111,幼稚園,南區,PARKVIEW INTERNATIONAL PRE
PARKVIEW INTERNATIONAL PRE-SCHOOL (KOWLOON),栢基國際幼稚園(九龍),edb_571490000113,幼稚園,油尖旺區,PARKVIEW INTERNATIONAL PRE
PARKVIEW INTERNATIONAL PRE-SCHOOL (KOWLOON),栢基國際幼稚園(九龍),edb_571490000111,幼稚園,油尖旺區,PARKVIEW INTERNATIONAL PRE
PARKVIEW INTERNATIONAL PRE-SCHOOL (KOWLOON),栢基國際幼稚園(九龍),edb_571490000112,幼稚園,油尖旺區,PARKVIEW INTERNATIONAL PRE
PUI KIU INTERNATIONAL KINDERGARTEN,培僑國際幼稚園,edb_613916000112,幼稚園,沙田區,PUI KIU INTERNATIONAL KINDERGARTEN
PUI KIU INTERNATIONAL KINDERGARTEN,培僑國際幼稚園,edb_613916000111,幼稚園,沙田區,PUI KIU INTERNATIONAL KINDERGARTEN
PUI KIU INTERNATIONAL KINDERGARTEN (PICTORIAL GARDEN),培僑國際幼稚園(碧濤花園),edb_622389000112,幼稚園,沙田區,PUI KIU INTERNATIONAL KINDERGARTEN
PUI KIU INTERNATIONAL KINDERGARTEN (PICTORIAL GARDEN),培僑國際幼稚園(碧濤花園),edb_622389000113,幼稚園,沙田區,PUI KIU INTERNATIONAL KINDERGARTEN
PUI KIU INTERNATIONAL KINDERGARTEN (PICTORIAL GARDEN),培僑國際幼稚園(碧濤花園),edb_622389000111,幼稚園,沙田區,PUI KIU INTERNATIONAL KINDERGARTEN
